# Tag name          ;  color
Taiwan              ; #99c1f1
China               ; #ff7800
Untagged            ; #c0c0c0
Vietnam             ; #f9f06b
South Korea         ; #3584e4
Guam                ; #986a44
U.S.A.              ; #3584e4
Thailand            ; #63452c
Russia              ; #1a5fb4
Philippines         ; #33d17a
North Korea         ; #f6d32d
Uzbekistan          ; #26a269
Japan               ; #e01b24

# Frequency ; Name                     ; Modulation          ;  Bandwidth; Tags
      235000; ?                        ; AM                  ;       8000; China
      558000; ?                        ; AM                  ;       7000; South Korea
      594000; NHK R1 - Tokyo           ; AM                  ;       7000; Japan
      603000; KBS HappyFM - Metro      ; AM                  ;      10000; South Korea
      612000; NHK R1 - Fukuoka         ; AM                  ;       7000; Japan
      693000; NHK R2 - Tokyo           ; AM                  ;       5000; Japan
      711000; KBS 1 Radio              ; AM                  ;      10000; North Korea
      720000; KBC - Kitakyushu         ; AM                  ;       5000; Japan
      738000; ?                        ; AM                  ;       5000; South Korea
     1134000; Bunkahoso                ; AM                  ;       7000; Japan
     1170000; ?(Korean)                ; AM                  ;       7000; Untagged
     1278000; RKB Radio                ; AM                  ;       5000; Japan
     1323000; China Radio International(Korean); AM                  ;      10000; China
     1377000; NHK R2 - Fukuoka         ; AM                  ;       8000; Untagged
     1386000; NHK R2 - Fukuoka         ; AM                  ;       8000; Japan
     1413000; KBC - Fukuoka            ; AM                  ;      15000; Japan
     1422000; Radio Nippon             ; AM                  ;      10000; Japan
     1440000; AFN Yongsan(English)     ; AM                  ;       6400; South Korea
     1485000; ?                        ; AM                  ;       7400; Japan
     1512000; NHK R2 - Matsuyama       ; AM                  ;       5000; Japan
     1557000; ?                        ; AM                  ;      10000; Japan
     1566000; FEBC Korea               ; AM                  ;      15800; South Korea
     1593000; CNR 1                    ; AM                  ;      10000; China
     1602000; NHK 2                    ; AM                  ;       7400; Japan
     2550000; NHK R1                   ; AM                  ;      10000; Japan
     2630700; ?                        ; AM                  ;      10000; North Korea
     2745000; NHK WORLD RADIO JAPAN(English); AM                  ;      10000; Japan
     3250000; KCBS - Pyongyang         ; AM                  ;      10000; North Korea
     3320000; PYONGYANG BS             ; AM                  ;      10000; North Korea
     3480000; Voice of the People      ; AM                  ;      20000; South Korea
     3910000; Voice of the People(2)   ; AM                  ;      10000; South Korea
     3930000; Voice of the People(Jamming Included); AM                  ;      10000; South Korea
     3945000; Voice of the People      ; AM                  ;      10000; South Korea
     3985000; Echo of Hope(Jamming Included); AM                  ;      10000; South Korea
     4450000; Voice of the People(3)   ; AM                  ;      10000; South Korea
     4560000; Voice of the People      ; AM                  ;      10000; North Korea
     4885000; Echo of Hope             ; AM                  ;      10000; South Korea
     5905000; ?                        ; AM                  ;      10000; North Korea
     5925000; ?                        ; AM                  ;      10000; China
     5945000; ?                        ; AM                  ;      10000; China
     5955000; China Radio International(English); AM                  ;      10000; China
     5965000; ?                        ; AM                  ;      10000; South Korea
     5975000; ?                        ; AM                  ;      10000; South Korea
     5995000; Echo of Hope             ; AM                  ;      10000; South Korea
     6000000; ?                        ; AM                  ;       7000; China
     6045000; Furusato no Kaze         ; AM                  ;       8000; Japan
     6050000; ?                        ; AM                  ;       7000; Russia
     6055000; RADIO NIKKEI 1           ; AM                  ;       5000; Japan
     6065000; CNR 2                    ; AM                  ;       8800; China
     6075000; CNR 1                    ; AM                  ;      10000; China
     6105000; ?                        ; AM                  ;       8000; China
     6110000; Nippon No Kaze(Korean)   ; AM                  ;      10000; Japan
